434,Engine cowling system,43,,,
435,Cowl flap system (recip. only),43,,,
436,Eng air baffle sec (recip.),43,,,
437,Mounts,43,,,
438,Fireseals,43,,,
439,Air intake,43,,,
440,Engine drains,43,,,
441,Powerplant wiring,43,,,
442,(general),44,,,
443,Reduction gear and shaft,44,,,
444,Air inlet section (core eng),44,,,
445,Compressor section,44,,,
446,Combustion section,44,,,
447,Turbine section,44,,,
448,Accessory drives,44,,,
449,Oil system,44,,,
450,Bypass section,44,,,
451,Turb eng wiring,44,,,
452,(general),45,,,
453,Fuel distribution,45,,,
454,Fuel oil cooler,45,,,
455,Fuel heater,45,,,
456,Fuel injector nozzle,45,,,
457,Fuel pump,45,,,
458,Fuel controlling system,45,,,
459,Fuel control electronic,45,,,
460,Fuel control/carburetor,45,,,
461,Turbine governor,45,,,
462,Fuel divider,45,,,
463,Fuel indicating system,45,,,
464,Fuel flow indicating,45,,,
465,Fuel pressure indicating,45,,,
466,Fuel flow sensor,45,,,
467,Fuel press sensor,45,,,
468,Eng fuel sys wiring,45,,,
469,(general),46,,,
470,Ignition power supply,46,,,
471,Low tension coil,46,,,
472,Exciter,46,,,
473,Induction vibrator,46,,,
474,Magneto/distributor,46,,,
475,Dist (ignition harness),46,,,
476,Spark plugs/igniters,46,,,
477,Switching,46,,,
478,Ignition system wiring,46,,,
479,(general),47,,,
480,Engine anti,47,,,
481,Engine cooling system,47,,,
482,Compressor bleed control,47,,,
483,Compressor bleed governor,47,,,
484,Compressor bleed valve,47,,,
485,Indicating system,47,,,
486,Bleed air system wiring,47,,,
487,(general),48,,,
488,Engine synchronizing,48,,,
489,Mixture control,48,,,
490,Power lever,48,,,
491,Emergency shutdown system,48,,,
492,Eng cntl sys wiring,48,,,
493,(general),49,,,
494,Power indicating system,49,,,
495,Engine pressure ratio (EPR),49,,,
496,BMEP/torque,49,,,
497,Manifold pressure (MP),49,,,
498,RPM,49,,,
499,Temperature indicating system,49,,,
500,Cylinder head temp (CHT),49,,,
501,EGT/TIT,49,,,
502,Analyzers,49,,,
503,Ignition analyzer,49,,,
504,Vibration analyzer,49,,,
505,Integrated engine inst system,49,,,
506,Engine indication sys wiring,49,,,
507,(general),50,,,
508,Collector/nozzle,50,,,
509,Noise suppressor,50,,,
510,Thrust reverser,50,,,
511,Eng exhst sys wiring,50,,,
512,(general),51,,,
513,Oil storage (airframe furnish),51,,,
514,Eng oil dist (airframe furn),51,,,
515,Cooler,51,,,
516,Temperature regulator,51,,,
517,Off valve,51,,,
518,Engine oil indicating system,51,,,
519,Pressure,51,,,
520,Quantity,51,,,
521,Temperature,51,,,
522,Engine oil system wiring,51,,,
523,(general),52,,,
524,Cranking,52,,,
525,Starter,52,,,
526,Valves/controls,52,,,
527,Engine starting system wiring,52,,,
528,(general),53,,,
529,Power recovery turbine,53,,,
530,Turbocharger,53,,,
531,Turbocharger system wiring,53,,,
532,(general),54,,,
533,Water inj sys wiring,54,,,
534,boxes,55,,,
535,(general),56,,,
536,Recip eng front section,56,,,
537,Recip engine power section,56,,,
538,Recip eng cyl section,56,,,
539,Recip eng rear section,56,,,
540,Recip eng oil sys,56,,,
541,Recip eng supercharger,56,,,
542,Recip eng liquid cooling,56,,,
543,Recip eng wiring,56,,,
544,(general),57,,,
545,(general),58,,,
546,Climb capability,58,,,
547,Maximum crosswind component,58,,,
548,Engine out capability,58,,,
549,Takeoff distance,58,,,
550,Landing distance,58,,,
551,Maximum weight,58,,,
552,CG/weight distribution,58,,,
553,Braking capability,58,,,
554,Instrument flight capability,58,,,
555,(general),59,,,
556,Airspeed,59,,,
557,Altitude,59,,,
558,Configuration,59,,,
559,Directional control,59,,,
560,Pitch control,59,,,
561,Lateral/bank control,59,,,
562,Yaw control,59,,,
563,Engine out control,59,,,
564,Glide,59,,,
565,Crosswind correction,59,,,
566,Dynamic load,59,,,
567,Climb rate,59,,,
568,Descent rate,59,,,
569,Descent/approach/glide path,59,,,
570,Landing flare,59,,,
571,Angle of attack,59,,,
572,Surface speed/braking,59,,,
573,Heading/course,59,,,
574,Powerplant parameters,59,,,
575,Prop/rotor parameters,59,,,
576,(general),60,,,
577,(general),61,,,
578,Fuel,61,,,
579,Hydraulic fluid,61,,,
580,Oil,61,,,
581,Coolant,61,,,
582,Water,61,,,
583,Grease,61,,,
584,Fuel additive,61,,,
585,Oil additive,61,,,
586,Anti-ice/de-ice flude,61,,,
587,Lavatory fluid,61,,,
588,(general),62,,,
589,Hoses and tubes,62,,,
590,Electrical connectors,62,,,
591,Fasteners,62,,,
592,Misc wiring,62,,,
593,(general),63,,,
594,(general),64,,,
595,DME,64,,,
596,VOR,64,,,
597,GPS,64,,,
598,NDB,64,,,
599,LORAN,64,,,
